AGLOMERADO,CH03,CH04,CH06,CH07,CH08,CH09,CH15,es_estudiante,ESTADO,CAT_OCUP,CAT_INAC,IV1,IV2,IV6,IV8,II8,IX_TOT,V2,V14,EDUC,horastrab,EDAD_2,ITF,ANIO,pobre
18.0,1.0,1,70.0,2.0,1,1.0,1.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,12.0,0.0,4900.0,2360.0,2005.0,0
18.0,2.0,0,66.0,2.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,7.0,0.0,4356.0,2360.0,2005.0,0
18.0,3.0,0,45.0,3.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,14.0,20.0,2025.0,2360.0,2005.0,0
18.0,3.0,0,32.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,17.0,21.0,1024.0,2360.0,2005.0,0
18.0,5.0,0,14.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,9.0,0.0,196.0,2360.0,2005.0,0
18.0,5.0,0,8.0,5.0,1,2.0,1.0,1,4.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,64.0,2360.0,2005.0,0
18.0,1.0,1,25.0,1.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,12.0,20.0,625.0,225.0,2005.0,1
18.0,2.0,0,28.0,1.0,0,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,12.0,0.0,784.0,225.0,2005.0,1
18.0,3.0,0,4.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,16.0,225.0,2005.0,1
18.0,3.0,0,2.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,4.0,225.0,2005.0,1
18.0,3.0,1,1.0,5.0,0,3.0,1.0,0,4.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,225.0,2005.0,1
18.0,1.0,0,28.0,3.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,7.0,3.0,784.0,80.0,2005.0,1
18.0,3.0,1,7.0,5.0,0,1.0,1.0,1,4.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,49.0,80.0,2005.0,1
18.0,3.0,0,5.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,25.0,80.0,2005.0,1
18.0,1.0,1,81.0,2.0,1,1.0,2.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,0.0,6561.0,535.0,2005.0,0
18.0,2.0,0,72.0,2.0,1,1.0,2.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,5184.0,535.0,2005.0,0
18.0,1.0,0,28.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,17.0,30.0,784.0,1300.0,2005.0,0
18.0,1.0,1,66.0,2.0,1,1.0,3.0,0,3.0,0.0,7.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,9.0,0.0,4356.0,1100.0,2005.0,0
18.0,2.0,0,64.0,2.0,1,1.0,1.0,0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,12.0,0.0,4096.0,1100.0,2005.0,0
18.0,3.0,0,29.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,13.0,0.0,841.0,1100.0,2005.0,0
18.0,3.0,1,27.0,5.0,0,1.0,1.0,0,3.0,0.0,7.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,17.0,0.0,729.0,1100.0,2005.0,0
18.0,1.0,1,42.0,2.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,5.0,56.0,1764.0,1140.0,2005.0,0
18.0,2.0,0,36.0,2.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,9.0,0.0,1296.0,1140.0,2005.0,0
18.0,3.0,0,20.0,3.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,9.0,0.0,400.0,1140.0,2005.0,0
18.0,3.0,1,17.0,1.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,7.0,44.0,289.0,1140.0,2005.0,0
